category,precision,recall,f1-score,support
222,0.5882352941176471,0.3365384615384615,0.4281345565749235,208.0
223,0.7222222222222222,0.0849673202614379,0.1520467836257309,153.0
224,0.1935483870967742,0.2264150943396226,0.208695652173913,53.0
225,0.6,0.2654867256637168,0.3680981595092024,113.0
226,0.1767068273092369,0.2528735632183908,0.2080378250591016,174.0
227,0.5405405405405406,0.1015228426395939,0.1709401709401709,197.0
228,0.6666666666666666,0.0133333333333333,0.0261437908496732,150.0
229,0.0588235294117647,0.0364963503649635,0.045045045045045,137.0
230,0.0821917808219178,0.125,0.0991735537190082,144.0
231,0.2692307692307692,0.0614035087719298,0.0999999999999999,114.0
232,0.7241379310344828,0.7,0.711864406779661,330.0
233,0.3888888888888889,0.04375,0.0786516853932584,160.0
234,0.1135135135135135,0.0697674418604651,0.0864197530864197,301.0
235,0.3636363636363636,0.2298850574712643,0.2816901408450704,87.0
236,0.0923076923076923,0.0474308300395256,0.06266318537859,253.0
237,0.5,0.0635593220338983,0.112781954887218,236.0
238,0.0346620450606585,0.0711743772241993,0.0466200466200466,281.0
239,0.25,0.0119047619047619,0.0227272727272727,84.0
240,0.5,0.1857142857142857,0.2708333333333333,140.0
241,0.4,0.0264900662251655,0.0496894409937888,151.0
242,0.28,0.6542056074766355,0.392156862745098,214.0
244,0.2758620689655172,0.1678321678321678,0.208695652173913,143.0
245,0.2741935483870967,0.1789473684210526,0.2165605095541401,95.0
246,0.5562913907284768,0.4772727272727273,0.5137614678899083,176.0
247,0.1717171717171717,0.1531531531531531,0.1619047619047618,111.0
248,0.2892156862745098,0.3430232558139535,0.3138297872340425,172.0
249,0.4166666666666667,0.048780487804878,0.0873362445414847,205.0
250,0.0927835051546391,0.0743801652892562,0.0825688073394495,121.0
252,0.75,0.0521739130434782,0.097560975609756,230.0
253,0.525,0.1242603550295858,0.200956937799043,169.0
254,1.0,0.0111111111111111,0.0219780219780219,90.0
255,0.5,0.0129032258064516,0.0251572327044025,155.0
256,0.1609870740305523,0.6372093023255814,0.2570356472795497,215.0
257,0.0,0.0,0.0,125.0
258,0.0756302521008403,0.1046511627906976,0.0878048780487804,86.0
259,0.1809815950920245,0.299492385786802,0.2256214149139579,197.0
260,0.1094736842105263,0.1911764705882352,0.1392235609103079,272.0
261,0.1461538461538461,0.2235294117647059,0.1767441860465116,85.0
262,0.4285714285714285,0.1028571428571428,0.1658986175115207,175.0
263,0.1990291262135922,0.231638418079096,0.2140992167101827,177.0
264,0.5909090909090909,0.1768707482993197,0.2722513089005235,147.0
265,0.6140350877192983,0.2011494252873563,0.303030303030303,174.0
266,0.2134831460674157,0.1696428571428571,0.1890547263681592,112.0
267,0.2527272727272727,0.4964285714285714,0.3349397590361446,280.0
268,0.2142857142857142,0.0571428571428571,0.0902255639097744,105.0
269,0.6111111111111112,0.1145833333333333,0.1929824561403508,192.0
270,0.25,0.0476190476190476,0.08,84.0
271,0.3478260869565217,0.0963855421686747,0.1509433962264151,83.0
272,0.125,0.5638297872340425,0.2046332046332046,94.0
273,0.5877551020408164,0.4675324675324675,0.5207956600361663,308.0
274,0.2298136645962732,0.1831683168316831,0.2038567493112947,202.0
275,0.2888086642599278,0.4790419161676646,0.3603603603603603,334.0
276,0.2941176470588235,0.1169590643274853,0.1673640167364016,171.0
277,0.5306122448979592,0.3880597014925373,0.4482758620689655,134.0
278,0.5238095238095238,0.0901639344262295,0.1538461538461538,122.0
279,0.5,0.0072992700729927,0.014388489208633,137.0
280,0.4545454545454545,0.0505050505050505,0.0909090909090909,99.0
281,0.3333333333333333,0.0163934426229508,0.03125,244.0
282,0.1777777777777777,0.2442748091603053,0.2057877813504823,131.0
283,0.25,0.0543478260869565,0.0892857142857142,92.0
284,0.4642857142857143,0.0828025477707006,0.1405405405405405,157.0
285,0.3706896551724138,0.2574850299401197,0.3038869257950529,167.0
286,0.2222222222222222,0.0246913580246913,0.0444444444444444,162.0
287,0.0,0.0,0.0,111.0
288,0.1276595744680851,0.04,0.0609137055837563,150.0
289,0.2122641509433962,0.3765690376569037,0.2714932126696832,239.0
290,0.7114093959731543,0.5326633165829145,0.6091954022988506,199.0
291,0.2897727272727273,0.4396551724137931,0.3493150684931507,116.0
292,0.8114285714285714,0.8765432098765432,0.8427299703264095,324.0
293,1.0,0.0075757575757575,0.0150375939849624,132.0
294,0.0,0.0,0.0,30.0
295,0.5549348230912476,0.7883597883597884,0.6513661202185792,378.0
296,0.321656050955414,0.4879227053140096,0.3877159309021113,207.0
297,0.4549549549549549,0.6234567901234568,0.5260416666666666,162.0
298,1.0,0.0217391304347826,0.0425531914893616,46.0
299,0.3294797687861271,0.5181818181818182,0.4028268551236749,110.0
300,0.6666666666666666,0.0615384615384615,0.1126760563380281,65.0
301,0.311046511627907,0.601123595505618,0.4099616858237548,178.0
302,0.1847133757961783,0.1946308724832214,0.1895424836601307,149.0
303,0.5121951219512195,0.2234042553191489,0.3111111111111111,188.0
304,0.4761904761904761,0.1581027667984189,0.2373887240356083,253.0
305,0.4285714285714285,0.019108280254777,0.0365853658536585,157.0
306,0.3493975903614458,0.1657142857142857,0.2248062015503875,175.0
307,0.4477611940298507,0.1115241635687732,0.1785714285714285,269.0
308,0.4210526315789473,0.0717488789237668,0.1226053639846743,223.0
309,1.0,0.0238095238095238,0.0465116279069767,42.0
310,0.4,0.0970873786407767,0.15625,103.0
311,0.782608695652174,0.8059701492537313,0.7941176470588236,134.0
312,0.4117647058823529,0.0510948905109489,0.0909090909090909,137.0
313,0.5,0.0296296296296296,0.0559440559440559,135.0
314,0.5263157894736842,0.5533596837944664,0.5394990366088632,253.0
315,0.5045871559633027,0.5045871559633027,0.5045871559633027,218.0
316,0.4642857142857143,0.5909090909090909,0.52,110.0
317,0.4333333333333333,0.1120689655172413,0.1780821917808219,116.0
318,0.15625,0.053763440860215,0.0799999999999999,93.0
319,0.217877094972067,0.2765957446808511,0.24375,141.0
320,0.2957746478873239,0.1242603550295858,0.175,169.0
321,0.2465437788018433,0.436734693877551,0.3151693667157584,245.0
322,0.1899441340782122,0.2312925170068027,0.2085889570552147,147.0
323,0.336734693877551,0.2142857142857142,0.2619047619047619,154.0
324,0.3666666666666666,0.0973451327433628,0.1538461538461538,113.0
325,0.6099706744868035,0.6910299003322259,0.64797507788162,301.0
326,0.2532467532467532,0.2228571428571428,0.2370820668693009,175.0
327,0.7090909090909091,0.1866028708133971,0.2954545454545454,209.0
